player_name,country_birth,country_fifa
William Carvalho,Angola,Portugal
Miha Mevlja,Jugoslawien (SFR),Slovenia
Lago Júnior,Cote d'Ivoire,Cote d'Ivoire
Thomas Meunier,Belgium,Belgium
Pedro Obiang,Spain,Equatorial Guinea
Matej Vydra,CSSR,Czech Republic
Jorginho,Brazil,Italy
Jamal Bhuyan,Denmark,Bangladesh
Viljormur Davidsen,Faroe Islands,Faroe Islands
Thorgan Hazard,Belgium,Belgium
Nemanja Nikolics,Jugoslawien (SFR),Hungary
Marko Simic,Jugoslawien (SFR),Montenegro
Sebastián Coates,Uruguay,Uruguay
Marco Verratti,Italy,Italy
Carlos Lampe,Bolivia,Bolivia
Denzil Haoseb,Namibia,Namibia
Islom Tukhtakhuzhaev,UdSSR,Uzbekistan
Mário Fernandes,Brazil,Russia
Yoann Wachter,France,Gabon
Ögmundur Kristinsson,Iceland,Iceland
André Hansen,Norway,Norway
Wahbi Khazri,France,Tunisia
Elkeson,Brazil,China
Lyle Taylor,England,Montserrat
Nathan Pond,England,Montserrat
Amer Amer,,Egypt
Alisson,Brazil,Brazil
Andrey Semenov,UdSSR,Russia
Ciro Immobile,Italy,Italy
Anas Bani Yassen,Jordan,Jordan
Amr El Solia,,Egypt
Jacques Zoua,Cameroon,Cameroon
Gladson Awako,Ghana,Ghana
Andreas Avraam,Cyprus,Cyprus
Marcel Sabitzer,Austria,Austria
Stefan Savic,Jugoslawien (SFR),Montenegro
Andrei Agius,Malta,Malta
Mahmoud Al Hammadi,,United Arab Emirates
Ali Khaseif,United Arab Emirates,United Arab Emirates
Parvizdzhon Umarbaev,Tajikistan,Tajikistan
Declan Gallagher,Scotland,Scotland
Khaled Al Rashidi,,Kuwait
Mohammed Mbye,,The Gambia
Frederik Rönnow,Denmark,Denmark
Fernando Lewis,Netherlands,Aruba
Rhyan Grant,Australia,Australia
Jordan Ayew,France,Ghana
Thibaut Courtois,Belgium,Belgium
Ivan Schranz,Slovakia,Slovakia
Yuya Osako,Japan,Japan
Attila Fiola,Hungary,Hungary
Chris Wood,New Zealand,New Zealand
Edin Visca,Jugoslawien (SFR),Bosnia-Herzegovina
Haris Seferovic,Switzerland,Switzerland
Onel Hernández,Cuba,Cuba
Luís Miquissone,Mozambique,Mozambique
Sam Johnstone,England,England
Mehdi Abeid,France,Algeria
Nampalys Mendy,France,Senegal
Christopher Missilou,France,Congo
Emil Forsberg,Sweden,Sweden
Warner Hahn,Netherlands,Suriname
Rangelo Janga,Netherlands,Curacao
Joël Veltman,Netherlands,Netherlands
Stefan de Vrij,Netherlands,Netherlands
Joël Kiassumbua,Switzerland,DR Congo
Frédéric Veseli,Switzerland,Albania
Granit Xhaka,Switzerland,Switzerland
Ayman Ashraf,Egypt,Egypt
Ahmed Hegazy,Egypt,Egypt
Joonas Tamm,Estonia,Estonia
Ryan Mendes,Cape Verde,Cape Verde
Emiliano Martínez,Argentina,Argentina
Giancarlo González,Costa Rica,Costa Rica
Eyal Golasa,Israel,Israel
Ofir Marciano,Israel,Israel
Jan Gregus,CSSR,Slovakia
Róger Rojas,Honduras,Honduras
Sérgio Oliveira,Portugal,Portugal
Karl-Johan Johnsson,Sweden,Sweden
Jakub Brabec,CSSR,Czech Republic
Roland Varga,Hungary,Hungary
Romaine Sawyers,England,St. Kitts & Nevis
Germán Pezzella,Argentina,Argentina
Radanfah Abu Bakr,Trinidad and Tobago,Trinidad and Tobago
Aubrey David,Guyana,Trinidad and Tobago
Curtis Gonzales,Trinidad and Tobago,Trinidad and Tobago
Marcus Joseph,Trinidad and Tobago,Trinidad and Tobago
Chatchai Budprom,Thailand,Thailand
Abdulaziz Hatem,Qatar,Qatar
Kevin Lafrance,France,Haiti
Eugenio Mena,Chile,Chile
Gilbert Álvarez,Bolivia,Bolivia
Nicolas Hasler,Liechtenstein,Liechtenstein
Seyhan Yildiz,Switzerland,Liechtenstein
Jón Dadi Bödvarsson,Iceland,Iceland
Gudmundur Thórarinsson,Iceland,Iceland
Ali Mabkhout,United Arab Emirates,United Arab Emirates
Aleksandr Sachivko,UdSSR,Belarus
André Calisir,Sweden,Armenia
Aly Keita,Sweden,Guinea
Marco Rojas,New Zealand,New Zealand
Vidar Örn Kjartansson,Iceland,Iceland
José Calderón,Panama,Panama
Viktor Claesson,Sweden,Sweden
Keanu Marsh-Brown,England,Guyana
Modibo Sidibe,Niger,Niger
Karl Andre Vallner,Estonia,Estonia
Chris Philipps,Luxembourg,Luxembourg
Denis Polyakov,UdSSR,Belarus
Liam Boyce,Northern Ireland,Northern Ireland
Rowen Muscat,Malta,Malta
Morgan Betorangal,,Chad
Rachid Ghezzal,France,Algeria
Mehdi Zeffane,France,Algeria
Alessandro Schöpf,Austria,Austria
Juan Barrera,Nicaragua,Nicaragua
Tae-hee Nam,"Korea, South","Korea, South"
Jin-hyeon Kim,,"Korea, South"
Leonardo Spinazzola,Italy,Italy
Zubayr Amiri,Afghanistan,Afghanistan
Kaan Ayhan,Germany,Turkey
Loris Benito,Switzerland,Switzerland
Mislav Orsic,Croatia,Croatia
Luis Muriel,Colombia,Colombia
Karim Onisiwo,Austria,Austria
Shane Duffy,Northern Ireland,Ireland
Emre Can,Germany,Germany
Gustavo Cuéllar,Colombia,Colombia
Edwin Cardona,Colombia,Colombia
Kenan Karaman,Germany,Turkey
Franco Armani,Argentina,Argentina
Maksim Medvedev,UdSSR,Azerbaijan
Kassim Abdallah,France,Comoros
Daniel Bachmann,Austria,Austria
Michael Gregoritsch,Austria,Austria
Orel Dgani,Israel,Israel
Andre Gray,England,Jamaica
Stefan Marinovic,New Zealand,New Zealand
Yuri Kendysh,UdSSR,Belarus
Knowledge Musona,Zimbabwe,Zimbabwe
Callum McGregor,Scotland,Scotland
Aaron Taylor-Sinclair,Scotland,Antigua and Barbuda
Zesh Rehman,England,Pakistan
Adam Davies,Germany,Wales
John Egan,Ireland,Ireland
Grant Hanley,Scotland,Scotland
Jan Oblak,Slovenia,Slovenia
Kostakis Artymatas,Cyprus,Cyprus
Francisco Flores,Costa Rica,Nicaragua
Hárold Cummings,Panama,Panama
Eric Davis,Panama,Panama
Armando Cooper,Panama,Panama
Héctor Herrera,Mexico,Mexico
Vitalijs Maksimenko,UdSSR,Latvia
Paul Pogba,France,France
Marlon Pereira,Netherlands,Aruba
Farouk Ben Mustapha,Tunisia,Tunisia
Issam Jebali,Tunisia,Tunisia
Nico Yennaris,England,China
Andy Delort,France,Algeria
Daley Blind,Netherlands,Netherlands
Loïc Nego,France,Hungary
Ali Gabr,Egypt,Egypt
José-Junior Matuwila,Germany,Angola
Kevin Molino,Trinidad and Tobago,Trinidad and Tobago
Mekeil Williams,Trinidad and Tobago,Trinidad and Tobago
Vlad Chiriches,Romania,Romania
Ángel Mena,Ecuador,Ecuador
Jóan Símun Edmundsson,Faroe Islands,Faroe Islands
Zarko Tomasevic,Jugoslawien (SFR),Montenegro
Sergiy Sydorchuk,UdSSR,Ukraine
Manuel Bihr,Germany,Thailand
Odysseas Vlachodimos,Germany,Greece
Matthias Ginter,Germany,Germany
Aias Aosman,Syria,Syria
Bernd Schipmann,Germany,Philippines
Ahmed Waseem Razeek,Germany,Sri Lanka
Florian Jozefzoon,French Guiana,Suriname
